"","st1","st2","sg1","sg2","se1","se2","mt1","sdt1","mt2","sdt2","mg1","sdg1","mg2","sdg2","me1","sde1","me2","sde2"
"1",500,100,-25,-10,0,0,475.600973192214,95.1736008550578,638.356200764739,938.977099851646,-22.9196874529743,12.8519141921261,-175.736156003038,229.604537899997,6.57249372193246e-05,0.000462392331176338,5.79342160215401e-05,0.000407582545293061
"2",500,100,-25,0,0,0,480.022493152969,148.963340737104,310.773789230183,689.598377140772,-25.561987303929,12.5616510363503,-19.6963863305747,66.8783893894754,0.00397209568544654,0.00866804209862371,0.00302785711315456,0.00798144426104724
"3",500,100,-5,-10,0,0,524.672991039551,82.7680221298074,411.567307786146,569.534328446641,-5.42822719599324,0.707087590816105,-216.201574946179,243.212599068791,0.000248431623989949,0.000794041272354032,0.0766838122214677,0.256027057979953
"4",500,100,-5,0,0,0,497.757960343365,75.0808915555714,242.382477962274,355.137936932086,-5.75412356439078,8.40215703012827,-79.5987139274676,173.912924483908,0.00171899438885067,0.00400108455989038,0.113826909830099,0.313353494265124
"5",500,300,-25,-10,0,0,577.724526488201,123.417015336308,698.277132277065,956.918536547498,-24.1041561174568,36.0260508193062,-134.37798212142,208.243057787017,5.80095173955326e-05,0.000331517832967791,6.47260023356467e-17,2.46251770555153e-16
"6",500,300,-25,0,0,0,458.023252849832,103.364599097708,859.515897094093,1142.19662054482,-16.712151730794,13.3870021536614,-72.8933373948865,150.578845791965,0.00336896564264593,0.0081340493147251,0.00305388945997028,0.00940586906219759
"7",500,300,-5,-10,0,0,696.945954656314,89.6913667786693,383.625592505316,669.79780749442,-6.24089889395139,1.1474275454945,-146.667460073206,217.652477208548,0.000118388863817522,0.000437406536026232,0.148140413133677,0.349039758857224
"8",500,300,-5,0,0,0,586.694893711246,113.209969332307,389.504049513994,446.306445690392,-6.00103913355472,14.0758375945889,-53.1374601407824,142.605799983854,0.00177350715157904,0.00491354129535149,0.0164280920031421,0.100091201547521
"9",1000,100,-25,-10,0,0,946.416500308891,165.366537581405,470.654947934798,849.19503398131,-34.1820381300194,59.2334077814319,-62.703664374546,139.007848806785,2.46802578374172e-16,4.47750233156968e-16,0.00792762597959029,0.0792762597959012
"10",1000,100,-25,0,0,0,1056.45285158374,156.011226180652,111.768807194808,26.4444058314679,-28.6887991580002,7.28276041726214,-0.343677067508374,0.880770432023582,0.00143559102199632,0.00294618919210436,0.00643307457813736,0.0145674952943989
"11",1000,100,-5,-10,0,0,1009.09083279737,121.786359051287,684.054928985578,976.462678596842,-5.21871917813262,0.467844178609882,-208.522354080646,242.125144239411,0.000179843942819657,0.000642865889913873,0.163711567391432,0.34753164692723
"12",1000,100,-5,0,0,0,914.407427301152,153.116993303143,399.747187590974,567.501904704088,-8.92660601054538,49.6128193999249,-72.1125665315907,167.98255108091,0.000857475530865094,0.00421912788768903,0.0240357472001039,0.12308886937073
"13",1000,200,-10,0,0,0,918.257516273667,NA,224.519314017342,NA,-9.06620962589628,NA,-0.527525751457274,NA,0,NA,0,NA
"14",1000,300,-25,-10,0,0,1063.95359230689,175.871413120665,576.721625340638,840.514537140297,-24.8956790894671,11.5621264023818,-99.5662859172057,189.261186889022,1.69916893741397e-05,0.000169916893738256,0.00030486157409664,0.00150103462791395
"15",1000,300,-25,0,0,0,1033.83766791577,179.068822382118,326.358226561437,215.645932515681,-25.5736590012901,8.03491471012001,-1.32524748821044,9.87950956948887,0.00237268064644232,0.00619449558625003,0.00531908725527289,0.00876722176813671
"16",1000,300,-5,-10,0,0,1157.66633252079,128.470931454082,469.407484790669,667.111554144199,-20.3436945440492,84.7818189997769,-173.463992697866,226.233932560967,0.000540852892272988,0.00323078008871442,0.207143304631805,0.392526034904825
"17",1000,300,-5,0,0,0,1034.63547873592,155.47179818667,608.936983400695,725.153099144878,-3.5690406564639,1.52074138283936,-63.2875270946429,149.114767287764,0.0014335187229079,0.00300874074254985,0.00755228519730277,0.0194169802938191
