"","st1","st2","sg1","sg2","se1","se2","mt1","sdt1","mt2","sdt2","mg1","sdg1","mg2","sdg2","me1","sde1","me2","sde2","nrep"
"1",5000,1000,-25,-10,0,0,4785.34492109077,622.552266470195,1481.87573240413,1229.34437857568,-30.0494576467354,16.5070394611989,-13.7751053154053,23.2488556364703,1.16804899633689e-05,7.18220452122485e-05,2.03428713312764e-05,8.87790558032218e-05,99
"2",5000,1000,-5,-10,0,0,5249.51531908552,721.483304064472,1551.63673129263,1793.69490361678,-20.2822366088533,85.2361085847999,-83.8439701308047,171.903649569114,0.000287118758675848,0.00194271512552926,0.0522303528617753,0.212652284935776,99
"3",5000,1000,-5,0,0,0,4612.02640640777,778.9606031593,1466.59188819597,877.784854088185,-4.66372172600456,1.44403829503828,-2.43149899477776,7.38383530261615,0.00115602102735455,0.00216899737837299,0.00116675444013792,0.00663795587892436,99
"4",5000,3000,-25,-10,0,0,5337.59567325439,770.748268492118,3006.27968102948,1501.62259390993,-23.0641926517329,8.5385380961007,-20.562618741548,32.8666295985349,2.40974023243125e-05,8.14658062320322e-05,2.22746825115711e-05,9.78330739606757e-05,99
"5",5000,3000,-5,-10,0,0,5999.64762403936,1120.12099975799,2799.78811877951,2258.48377377243,-13.9830493359843,52.563833743089,-36.6538896132378,94.3758657054484,0.000374262444570289,0.00197368708122619,0.00159500464179804,0.00728286885071897,99
"6",5000,3000,-5,0,0,0,5150.43979978495,746.313591409651,2951.03354492145,782.48283858463,-3.40407747898155,2.04129275162963,-3.29448983167766,4.58423339703354,0.0011884291683116,0.00241127198351563,0.0019285045849916,0.00475068667436336,99
"7",10000,1000,-25,-10,0,0,9389.57094254911,1032.21038678645,1851.05287343766,1474.79760096184,-29.2701460138468,18.4373087246153,-11.6113577053695,4.47965820707012,1.5849176407413e-05,6.157041375138e-05,8.00257565149236e-05,0.000283046437645301,99
"8",10000,1000,-5,-10,0,0,9720.36383637954,792.056720309004,1344.62541846932,942.79464654853,-5.16943231785712,0.299922767101091,-8.90636601741003,14.2097856422389,3.22390153562103e-05,0.000201745906715415,0.00206748494730117,0.00384921121302978,99
"9",10000,1000,-5,0,0,0,8752.88476890398,1359.17694306008,2449.68633357426,1645.02020719207,-6.96582559087495,18.9625295396594,-2.57387916950427,4.2240876875513,0.000678994240341586,0.00130652544751907,0.00270233122683428,0.00633859081281584,99
"10",10000,3000,-25,-10,0,0,9427.62442138287,821.984770622026,3820.71376552761,1203.75698790357,-28.2905501081349,7.4579666587241,-10.9653134037844,3.36488526156034,2.35457069060904e-05,6.60675094074028e-05,5.74902519975804e-05,0.000170150423152971,99
"11",10000,3000,-5,-10,0,0,9665.70808686372,824.493723564324,3278.5319528757,877.229617933882,-5.49425938873425,0.819189877880964,-7.78858864784986,3.02546976761699,3.4959026203802e-05,0.000195943747052915,0.000659778244350825,0.00136124165541206,99
"12",10000,3000,-5,0,0,0,8953.56028958003,1040.08468722823,4139.7616691406,1126.73109608902,-5.10061894880259,1.35214252426716,-1.38098371055135,2.60145667624519,0.00080836417767103,0.00149103209786985,0.00197460918330528,0.00331692907466312,99
